disease,description1,description2,description3,description4,description5,description6,description7,description8,description9,description10
Cysticercosis,"I have abnormal breathing sounds, early or late onset of menopause, elbow swelling, excessive appetite, feeling hot, hand or finger weakness, low back swelling, scanty menstrual flow, sharp chest pain, toothache, vaginal redness, wrist swelling","I have abnormal breathing sounds, early or late onset of menopause, elbow swelling, feeling hot, hand or finger weakness, scanty menstrual flow, sharp chest pain, vaginal redness","I have abnormal breathing sounds, early or late onset of menopause, excessive appetite, hand or finger weakness, low back swelling, toothache, vaginal redness, wrist swelling","I have abnormal breathing sounds, early or late onset of menopause, elbow swelling, excessive appetite, feeling hot, low back swelling, scanty menstrual flow, toothache, vaginal redness","I have abnormal breathing sounds, elbow swelling, feeling hot, hand or finger weakness, low back swelling, scanty menstrual flow, sharp chest pain, toothache","I have early or late onset of menopause, elbow swelling, hand or finger weakness, scanty menstrual flow, sharp chest pain, toothache, vaginal redness, wrist swelling","I have abnormal breathing sounds, early or late onset of menopause, elbow swelling, excessive appetite, feeling hot, low back swelling, scanty menstrual flow, toothache, wrist swelling","I have abnormal breathing sounds, early or late onset of menopause, elbow swelling, excessive appetite, hand or finger weakness, low back swelling, vaginal redness, wrist swelling","I have abnormal breathing sounds, early or late onset of menopause, elbow swelling, excessive appetite, hand or finger weakness, low back swelling, scanty menstrual flow, sharp chest pain, vaginal redness","I have abnormal breathing sounds, early or late onset of menopause, feeling hot, low back swelling, scanty menstrual flow, toothache, vaginal redness, wrist swelling"
Cystitis,"I have back mass or lump, blood in stool, frequent menstruation, intermenstrual bleeding, low urine output, painful sinuses, paresthesia, restlessness, seizures, shoulder weakness, stuttering or stammering, swollen tongue","I have back mass or lump, blood in stool, low urine output, paresthesia, restlessness, seizures, shoulder weakness, stuttering or stammering","I have back mass or lump, blood in stool, frequent menstruation, low urine output, painful sinuses, restlessness, seizures, shoulder weakness, swollen tongue","I have blood in stool, frequent menstruation, low urine output, painful sinuses, paresthesia, restlessness, shoulder weakness, swollen tongue","I have back mass or lump, frequent menstruation, intermenstrual bleeding, painful sinuses, paresthesia, restlessness, seizures, stuttering or stammering, swollen tongue","I have back mass or lump, blood in stool, intermenstrual bleeding, low urine output, painful sinuses, paresthesia, restlessness, seizures, swollen tongue","I have blood in stool, frequent menstruation, intermenstrual bleeding, low urine output, restlessness, seizures, shoulder weakness, stuttering or stammering, swollen tongue","I have blood in stool, intermenstrual bleeding, low urine output, painful sinuses, paresthesia, seizures, stuttering or stammering, swollen tongue","I have blood in stool, frequent menstruation, intermenstrual bleeding, low urine output, painful sinuses, restlessness, seizures, shoulder weakness, stuttering or stammering","I have frequent menstruation, intermenstrual bleeding, low urine output, painful sinuses, paresthesia, seizures, shoulder weakness, swollen tongue"
Cytomegalovirus infection,"I have allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass","I have allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, pain during pregnancy, pain of the anus, wrist lump or mass","I have allergic reaction, emotional symptoms, eyelid swelling, joint pain, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath","I have allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, knee cramps or spasms, pain during intercourse, pain during pregnancy, shortness of breath","I have emotional symptoms, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass","I have emotional symptoms, eyelid swelling, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath, wrist lump or mass","I have allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during pregnancy, shortness of breath","I have allergic reaction, emotional symptoms, eyelid swelling, fainting, knee cramps or spasms, pain during intercourse, pain during pregnancy, shortness of breath, wrist lump or mass","I have allergic reaction, excessive growth, eyelid swelling, fainting, joint pain, pain during intercourse, pain of the anus, wrist lump or mass","I have allergic reaction, emotional symptoms, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, shortness of breath"
Deep vein thrombosis (DVT),"I have abdominal distention, ankle stiffness or tightness, arm stiffness or tightness, disturbance of memory, foot or toe stiffness or tightness, lacrimation, leg cramps or spasms, leg lump or mass, leg pain, leg stiffness or tightness, palpitations, penis redness","I have abdominal distention, ankle stiffness or tightness, lacrimation, leg cramps or spasms, leg lump or mass, leg pain, leg stiffness or tightness, palpitations","I have disturbance of memory, foot or toe stiffness or tightness, lacrimation, leg cramps or spasms, leg lump or mass, leg pain, leg stiffness or tightness, palpitations, penis redness","I have abdominal distention, disturbance of memory, lacrimation, leg cramps or spasms, leg lump or mass, leg pain, leg stiffness or tightness, penis redness","I have abdominal distention, ankle stiffness or tightness, arm stiffness or tightness, disturbance of memory, foot or toe stiffness or tightness, leg lump or mass, leg stiffness or tightness, palpitations","I have ankle stiffness or tightness, arm stiffness or tightness, foot or toe stiffness or tightness, leg cramps or spasms, leg lump or mass, leg pain, leg stiffness or tightness, penis redness","I have ankle stiffness or tightness, arm stiffness or tightness, foot or toe stiffness or tightness, lacrimation, leg cramps or spasms, leg lump or mass, leg stiffness or tightness, palpitations","I have ankle stiffness or tightness, arm stiffness or tightness, disturbance of memory, foot or toe stiffness or tightness, lacrimation, leg lump or mass, leg pain, palpitations, penis redness","I have abdominal distention, ankle stiffness or tightness, disturbance of memory, foot or toe stiffness or tightness, lacrimation, leg stiffness or tightness, palpitations, penis redness","I have abdominal distention, ankle stiffness or tightness, arm stiffness or tightness, disturbance of memory, foot or toe stiffness or tightness, leg cramps or spasms, leg lump or mass, leg pain"
Degenerative disc disease,"I have abusing alcohol, arm lump or mass, back mass or lump, hip lump or mass, jaw swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass","I have abusing alcohol, arm lump or mass, jaw swelling, leg lump or mass, long menstrual periods, lower abdominal pain, neck mass, palpitations","I have abusing alcohol, arm lump or mass, back mass or lump, jaw swelling, leg lump or mass, long menstrual periods, neck mass, palpitations, shoulder lump or mass","I have abusing alcohol, hip lump or mass, jaw swelling, long menstrual periods, lower abdominal pain, neck mass, palpitations, shoulder lump or mass","I have arm lump or mass, back mass or lump, hip lump or mass, jaw swelling, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass","I have arm lump or mass, back mass or lump, hip lump or mass, jaw swelling, leg lump or mass, long menstrual periods, lower abdominal pain, shoulder lump or mass","I have abusing alcohol, arm lump or mass, back mass or lump, hip lump or mass, jaw swelling, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass","I have back mass or lump, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, palpitations, shoulder lump or mass","I have abusing alcohol, back mass or lump, hip lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, lower abdominal pain, neck mass, shoulder lump or mass","I have abusing alcohol, arm lump or mass, back mass or lump, jaw swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, neck mass, shoulder lump or mass"
Delirium,"I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking","I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, depression, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking","I have decreased heart rate, depression, difficulty in swallowing, discharge in stools, flushing, hurts to breath, problems during pregnancy, sleepwalking","I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, difficulty in swallowing, discharge in stools, flushing, hurts to breath, problems during pregnancy, sleepwalking","I have abnormal breathing sounds, delusions or hallucinations, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hurts to breath, problems during pregnancy, sleepwalking","I have decreased heart rate, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, problems during pregnancy, sleepwalking","I have abnormal breathing sounds, decreased heart rate, delusions or hallucinations, difficulty in swallowing, disturbance of memory, flushing, hurts to breath, problems during pregnancy, sleepwalking","I have delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, flushing, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking","I have abnormal breathing sounds, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, hurts to breath, problems during pregnancy","I have abnormal breathing sounds, delusions or hallucinations, depression, difficulty in swallowing, discharge in stools, disturbance of memory, hoarse voice, hurts to breath, problems during pregnancy, sleepwalking"
Dementia,"I have abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations, problems during pregnancy","I have decreased heart rate, depression, difficulty in swallowing, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations","I have abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, disturbance of memory, flushing, hoarse voice, infrequent menstruation, palpitations","I have abnormal breathing sounds, difficulty in swallowing, disturbance of memory, disturbance of smell or taste, flushing, hoarse voice, infrequent menstruation, palpitations","I have abnormal breathing sounds, depression, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, infrequent menstruation, palpitations","I have decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, flushing, hoarse voice, palpitations, problems during pregnancy","I have decreased heart rate, depression, difficulty in swallowing, disturbance of memory, flushing, hoarse voice, infrequent menstruation, palpitations, problems during pregnancy","I have abnormal breathing sounds, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, infrequent menstruation, palpitations, problems during pregnancy","I have abnormal breathing sounds, decreased heart rate, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, flushing, palpitations, problems during pregnancy","I have abnormal breathing sounds, depression, difficulty in swallowing, discharge in stools, disturbance of memory, disturbance of smell or taste, hoarse voice, problems during pregnancy"
Dengue fever,"I have allergic reaction, emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, sore in nose, wrist lump or mass","I have allergic reaction, eyelid swelling, feet turned in, joint pain, pain during intercourse, pain during pregnancy, sore in nose, wrist lump or mass","I have allergic reaction, eyelid swelling, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath, sore in nose, wrist lump or mass","I have allergic reaction, eyelid swelling, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, shortness of breath, sore in nose","I have emotional symptoms, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, sore in nose","I have emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath","I have emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during pregnancy, shortness of breath, wrist lump or mass","I have eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain of the anus, shortness of breath, sore in nose, wrist lump or mass","I have allergic reaction, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath, sore in nose, wrist lump or mass","I have allergic reaction, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath"
Dental caries,"I have dry or flaky scalp, eyelid swelling, groin pain, jaw pain, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, regurgitation, skin growth, skin rash, too little hair","I have groin pain, mouth dryness, neck stiffness or tightness, penis redness, regurgitation, skin growth, skin rash, too little hair","I have dry or flaky scalp, eyelid swelling, groin pain, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, regurgitation, skin rash","I have dry or flaky scalp, eyelid swelling, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, skin growth, skin rash, too little hair","I have dry or flaky scalp, eyelid swelling, groin pain, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, skin growth, skin rash, too little hair","I have eyelid swelling, groin pain, jaw pain, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, regurgitation, skin growth, skin rash, too little hair","I have eyelid swelling, groin pain, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, regurgitation, skin growth, too little hair","I have dry or flaky scalp, eyelid swelling, groin pain, mouth dryness, pain in eye, penis redness, regurgitation, skin growth, too little hair","I have eyelid swelling, groin pain, jaw pain, mouth dryness, penis redness, regurgitation, skin rash, too little hair","I have dry or flaky scalp, eyelid swelling, mouth dryness, neck stiffness or tightness, pain in eye, penis redness, skin growth, too little hair"
Depression,"I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, depression, discharge in stools, emotional symptoms, infrequent menstruation, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, delusions or hallucinations, depression, discharge in stools, drainage in throat, infrequent menstruation, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, infrequent menstruation, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, discharge in stools, drainage in throat, hoarse voice, infrequent menstruation, symptoms of the scrotum and testes","I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, hoarse voice, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, delusions or hallucinations, depression, discharge in stools, emotional symptoms, infrequent menstruation, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, infrequent menstruation","I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, discharge in stools, drainage in throat, emotional symptoms, hoarse voice, symptoms of the scrotum and testes"
Dermatitis due to sun exposure,"I have abdominal distention, ache all over, irregular appearing nails, itchy eyelid, knee weakness, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, skin rash, symptoms of prostate","I have ache all over, irregular appearing nails, itchy eyelid, knee weakness, sinus congestion, skin pain, skin rash, symptoms of prostate","I have abdominal distention, ache all over, itchy eyelid, knee weakness, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, skin rash","I have abdominal distention, ache all over, knee weakness, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, skin rash, symptoms of prostate","I have abdominal distention, ache all over, itchy eyelid, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin lesion, skin rash, symptoms of prostate","I have abdominal distention, ache all over, irregular appearing nails, itchy eyelid, knee weakness, sinus congestion, skin irritation, skin lesion, skin pain, skin rash","I have ache all over, irregular appearing nails, knee weakness, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash","I have abdominal distention, ache all over, irregular appearing nails, itchy eyelid, knee weakness, skin dryness, peeling, scaliness, or roughness, skin lesion, skin rash, symptoms of prostate","I have abdominal distention, irregular appearing nails, itchy eyelid, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, symptoms of prostate","I have abdominal distention, ache all over, irregular appearing nails, itchy eyelid, knee weakness, sinus congestion, skin pain, skin rash"
Developmental disability,"I have ankle weakness, decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, hoarse voice, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes","I have depression, difficulty in swallowing, fatigue, hoarse voice, knee weakness, nosebleed, scanty menstrual flow, symptoms of the scrotum and testes","I have depression, difficulty in swallowing, emotional symptoms, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes","I have ankle weakness, decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, scanty menstrual flow, symptoms of the scrotum and testes","I have ankle weakness, difficulty in swallowing, fatigue, hoarse voice, knee weakness, nosebleed, scanty menstrual flow, symptoms of the scrotum and testes","I have ankle weakness, depression, difficulty in swallowing, fatigue, hoarse voice, knee weakness, scanty menstrual flow, symptoms of the scrotum and testes","I have ankle weakness, emotional symptoms, hoarse voice, knee weakness, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes","I have ankle weakness, decreased heart rate, depression, emotional symptoms, hoarse voice, knee weakness, nosebleed, symptoms of the scrotum and testes","I have decreased heart rate, depression, difficulty in swallowing, fatigue, hoarse voice, knee weakness, nosebleed, regurgitation, symptoms of the scrotum and testes","I have decreased heart rate, depression, difficulty in swallowing, emotional symptoms, fatigue, hoarse voice, knee weakness, regurgitation, symptoms of the scrotum and testes"
Deviated nasal septum,"I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose","I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, painful menstruation","I have abnormal appearing tongue, anxiety and nervousness, eyelid swelling, hand or finger weakness, nailbiting, nose deformity, painful menstruation, sore in nose","I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, eyelid swelling, frequent urination, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose","I have abnormal appearing tongue, diarrhea, eyelid swelling, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose","I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, frequent urination, hand or finger weakness, nailbiting, nose deformity, painful menstruation, peripheral edema, sore in nose","I have abnormal appearing tongue, acne or pimples, anxiety and nervousness, eyelid swelling, frequent urination, nailbiting, peripheral edema, sore in nose","I have abnormal appearing tongue, acne or pimples, diarrhea, frequent urination, hand or finger weakness, nailbiting, nose deformity, peripheral edema, sore in nose","I have abnormal appearing tongue, anxiety and nervousness, eyelid swelling, hand or finger weakness, nailbiting, nose deformity, painful menstruation, sore in nose","I have abnormal appearing tongue, acne or pimples, diarrhea, frequent urination, hand or finger weakness, nailbiting, painful menstruation, peripheral edema, sore in nose"
Diabetes insipidus,"I have coryza, difficulty eating, disturbance of smell or taste, early or late onset of menopause, elbow swelling, elbow weakness, excessive anger, frequent menstruation, hip pain, itchy ear(s), muscle weakness, wrist swelling","I have coryza, difficulty eating, disturbance of smell or taste, elbow swelling, elbow weakness, hip pain, itchy ear(s), muscle weakness","I have coryza, difficulty eating, disturbance of smell or taste, elbow swelling, elbow weakness, excessive anger, frequent menstruation, hip pain, itchy ear(s)","I have difficulty eating, disturbance of smell or taste, elbow swelling, excessive anger, frequent menstruation, itchy ear(s), muscle weakness, wrist swelling","I have difficulty eating, disturbance of smell or taste, elbow swelling, elbow weakness, excessive anger, frequent menstruation, hip pain, itchy ear(s)","I have difficulty eating, disturbance of smell or taste, early or late onset of menopause, elbow swelling, elbow weakness, frequent menstruation, hip pain, itchy ear(s), muscle weakness","I have coryza, difficulty eating, early or late onset of menopause, elbow swelling, excessive anger, frequent menstruation, itchy ear(s), muscle weakness","I have difficulty eating, disturbance of smell or taste, early or late onset of menopause, elbow swelling, elbow weakness, excessive anger, frequent menstruation, itchy ear(s), muscle weakness","I have coryza, disturbance of smell or taste, early or late onset of menopause, elbow weakness, excessive anger, hip pain, itchy ear(s), muscle weakness, wrist swelling","I have coryza, difficulty eating, disturbance of smell or taste, early or late onset of menopause, elbow swelling, elbow weakness, excessive anger, itchy ear(s), wrist swelling"
Diabetic ketoacidosis,"I have cross-eyed, depression, diaper rash, fluid in ear, frequent menstruation, nasal congestion, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, vaginal redness, warts","I have depression, diaper rash, fluid in ear, frequent menstruation, nasal congestion, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, vaginal redness","I have cross-eyed, depression, frequent menstruation, nasal congestion, plugged feeling in ear, sharp abdominal pain, temper problems, vaginal redness, warts","I have cross-eyed, depression, diaper rash, frequent menstruation, plugged feeling in ear, sharp abdominal pain, temper problems, vaginal redness, warts","I have cross-eyed, fluid in ear, nasal congestion, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, vaginal redness, warts","I have cross-eyed, depression, fluid in ear, nasal congestion, plugged feeling in ear, sharp abdominal pain, temper problems, vaginal redness, warts","I have cross-eyed, fluid in ear, frequent menstruation, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, warts","I have depression, diaper rash, fluid in ear, frequent menstruation, nasal congestion, plugged feeling in ear, seizures, temper problems, warts","I have depression, fluid in ear, nasal congestion, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, vaginal redness","I have cross-eyed, depression, diaper rash, nasal congestion, plugged feeling in ear, seizures, sharp abdominal pain, temper problems, warts"
Diabetic kidney disease,"I have blood clots during menstrual periods, decreased heart rate, emotional symptoms, headache, hot flashes, hysterical behavior, involuntary urination, knee weakness, lacrimation, leg stiffness or tightness, symptoms of the face, temper problems","I have blood clots during menstrual periods, decreased heart rate, emotional symptoms, headache, hot flashes, hysterical behavior, knee weakness, temper problems","I have blood clots during menstrual periods, decreased heart rate, emotional symptoms, headache, hot flashes, knee weakness, symptoms of the face, temper problems","I have emotional symptoms, hot flashes, hysterical behavior, involuntary urination, knee weakness, lacrimation, leg stiffness or tightness, temper problems","I have blood clots during menstrual periods, decreased heart rate, headache, hot flashes, hysterical behavior, knee weakness, leg stiffness or tightness, symptoms of the face, temper problems","I have blood clots during menstrual periods, emotional symptoms, headache, hot flashes, hysterical behavior, involuntary urination, leg stiffness or tightness, symptoms of the face, temper problems","I have blood clots during menstrual periods, decreased heart rate, emotional symptoms, headache, involuntary urination, lacrimation, leg stiffness or tightness, symptoms of the face, temper problems","I have blood clots during menstrual periods, headache, hot flashes, hysterical behavior, involuntary urination, knee weakness, lacrimation, symptoms of the face, temper problems","I have blood clots during menstrual periods, decreased heart rate, headache, hot flashes, knee weakness, leg stiffness or tightness, symptoms of the face, temper problems","I have blood clots during menstrual periods, decreased heart rate, emotional symptoms, headache, hot flashes, hysterical behavior, lacrimation, temper problems"
Diabetic peripheral neuropathy,"I have foot or toe lump or mass, foot or toe pain, foot or toe stiffness or tightness, gum pain, leg lump or mass, long menstrual periods, lump over jaw, palpitations, polyuria, problems during pregnancy, skin irritation, skin on head or neck looks infected","I have foot or toe lump or mass, foot or toe pain, foot or toe stiffness or tightness, gum pain, leg lump or mass, lump over jaw, problems during pregnancy, skin irritation","I have foot or toe lump or mass, foot or toe pain, foot or toe stiffness or tightness, gum pain, long menstrual periods, lump over jaw, palpitations, polyuria, skin on head or neck looks infected","I have foot or toe lump or mass, foot or toe pain, gum pain, long menstrual periods, lump over jaw, polyuria, problems during pregnancy, skin irritation, skin on head or neck looks infected","I have foot or toe lump or mass, foot or toe pain, foot or toe stiffness or tightness, gum pain, long menstrual periods, palpitations, polyuria, problems during pregnancy, skin irritation, skin on head or neck looks infected","I have foot or toe lump or mass, foot or toe pain, gum pain, lump over jaw, polyuria, problems during pregnancy, skin irritation, skin on head or neck looks infected","I have foot or toe lump or mass, foot or toe pain, gum pain, leg lump or mass, palpitations, polyuria, problems during pregnancy, skin irritation, skin on head or neck looks infected","I have foot or toe pain, foot or toe stiffness or tightness, gum pain, leg lump or mass, lump over jaw, polyuria, skin irritation, skin on head or neck looks infected","I have foot or toe pain, foot or toe stiffness or tightness, gum pain, long menstrual periods, lump over jaw, palpitations, polyuria, skin irritation","I have foot or toe lump or mass, foot or toe pain, foot or toe stiffness or tightness, gum pain, leg lump or mass, long menstrual periods, lump over jaw, palpitations, problems during pregnancy, skin on head or neck looks infected"
Diabetic retinopathy,"I have abnormal involuntary movements, bleeding from ear, bleeding or discharge from nipple, diminished hearing, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder","I have abnormal involuntary movements, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, pain during pregnancy, sore throat, symptoms of bladder","I have bleeding from ear, diminished hearing, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, pain during pregnancy, sore throat","I have bleeding from ear, bleeding or discharge from nipple, diminished hearing, dizziness, foot or toe weakness, pain during pregnancy, sore throat, symptoms of bladder","I have bleeding or discharge from nipple, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder","I have bleeding or discharge from nipple, diminished hearing, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat","I have bleeding from ear, bleeding or discharge from nipple, dizziness, eye moves abnormally, foot or toe weakness, pain during pregnancy, sore throat, symptoms of bladder","I have abnormal involuntary movements, bleeding from ear, diminished hearing, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, symptoms of bladder","I have abnormal involuntary movements, bleeding from ear, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder","I have abnormal involuntary movements, bleeding or discharge from nipple, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, sore throat, symptoms of bladder"
Diaper rash,"I have blood clots during menstrual periods, coryza, depressive or psychotic symptoms, diaper rash, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, rectal bleeding, skin pain, symptoms of the scrotum and testes, vaginal redness","I have blood clots during menstrual periods, coryza, diaper rash, feet turned in, irregular heartbeat, problems with shape or size of breast, rectal bleeding, skin pain, symptoms of the scrotum and testes","I have blood clots during menstrual periods, depressive or psychotic symptoms, diaper rash, feet turned in, irregular heartbeat, nailbiting, rectal bleeding, skin pain, symptoms of the scrotum and testes","I have coryza, depressive or psychotic symptoms, diaper rash, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, rectal bleeding, symptoms of the scrotum and testes","I have blood clots during menstrual periods, coryza, diaper rash, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, skin pain, vaginal redness","I have blood clots during menstrual periods, coryza, depressive or psychotic symptoms, diaper rash, feet turned in, nailbiting, problems with shape or size of breast, symptoms of the scrotum and testes, vaginal redness","I have blood clots during menstrual periods, depressive or psychotic symptoms, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, symptoms of the scrotum and testes, vaginal redness","I have depressive or psychotic symptoms, feet turned in, irregular heartbeat, nailbiting, problems with shape or size of breast, rectal bleeding, skin pain, symptoms of the scrotum and testes","I have blood clots during menstrual periods, depressive or psychotic symptoms, diaper rash, feet turned in, irregular heartbeat, problems with shape or size of breast, rectal bleeding, skin pain","I have coryza, depressive or psychotic symptoms, diaper rash, irregular heartbeat, nailbiting, skin pain, symptoms of the scrotum and testes, vaginal redness"
