prognosis,symptoms_description
Head and neck cancer,"I have difficulty eating, eyelid swelling, heavy menstrual flow, mouth dryness, peripheral edema, sore in nose, thirst, tongue lesions"
Head and neck cancer,"I have bleeding gums, eyelid swelling, heavy menstrual flow, hip weakness, mouth dryness, neck cramps or spasms, sore in nose, tongue bleeding, tongue lesions"
Head and neck cancer,"I have difficulty eating, eyelid swelling, heavy menstrual flow, hip weakness, neck cramps or spasms, peripheral edema, sore in nose, tongue bleeding, tongue lesions"
Head and neck cancer,"I have bleeding gums, difficulty eating, eyelid swelling, hip weakness, mouth dryness, peripheral edema, sore in nose, thirst, tongue bleeding, tongue lesions"
Head and neck cancer,"I have bleeding gums, difficulty eating, hip weakness, neck cramps or spasms, sore in nose, thirst, tongue bleeding, tongue lesions"
Head and neck cancer,"I have bleeding gums, eyelid swelling, heavy menstrual flow, hip weakness, mouth dryness, neck cramps or spasms, peripheral edema, sore in nose, tongue lesions"
Head and neck cancer,"I have bleeding gums, difficulty eating, eyelid swelling, heavy menstrual flow, neck cramps or spasms, peripheral edema, sore in nose, thirst, tongue lesions"
Pseudohypoparathyroidism,"I have allergic reaction, elbow swelling, foot or toe lump or mass, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist lump or mass, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have allergic reaction, elbow swelling, jaw swelling, knee lump or mass, leg lump or mass, skin irritation, wrist lump or mass, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have allergic reaction, hip lump or mass, jaw swelling, knee lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist lump or mass, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have allergic reaction, foot or toe lump or mass, jaw swelling, leg lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist lump or mass, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have allergic reaction, elbow swelling, hip lump or mass, leg lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have allergic reaction, foot or toe lump or mass, hip lump or mass, knee lump or mass, leg lump or mass, leg stiffness or tightness, low back cramps or spasms, wrist lump or mass, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have elbow swelling, foot or toe lump or mass, hip lump or mass, jaw swelling, knee lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist lump or mass"
Pseudohypoparathyroidism,"I have allergic reaction, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, wrist lump or mass, wrist stiffness or tightness"
Pseudohypoparathyroidism,"I have allergic reaction, elbow swelling, foot or toe lump or mass, leg lump or mass, leg stiffness or tightness, low back cramps or spasms, skin irritation, wrist lump or mass"
Pseudohypoparathyroidism,"I have allergic reaction, elbow swelling, foot or toe lump or mass, hip lump or mass, knee lump or mass, leg lump or mass, leg stiffness or tightness, skin irritation, wrist lump or mass"
Goiter,"I have arm swelling, blood in urine, difficulty eating, fainting, feeling hot, headache, hostile behavior, leg swelling, lower body pain, neck cramps or spasms, neck stiffness or tightness, weakness"
Goiter,"I have blood in urine, difficulty eating, fainting, feeling hot, hostile behavior, lower body pain, neck cramps or spasms, neck stiffness or tightness"
Goiter,"I have blood in urine, difficulty eating, fainting, feeling hot, headache, leg swelling, neck cramps or spasms, weakness"
Goiter,"I have arm swelling, difficulty eating, feeling hot, headache, hostile behavior, leg swelling, lower body pain, neck stiffness or tightness"
Goiter,"I have arm swelling, blood in urine, fainting, feeling hot, headache, hostile behavior, leg swelling, neck stiffness or tightness"
Goiter,"I have arm swelling, blood in urine, difficulty eating, feeling hot, headache, hostile behavior, lower body pain, neck stiffness or tightness"
Goiter,"I have blood in urine, difficulty eating, fainting, feeling hot, leg swelling, lower body pain, neck cramps or spasms, neck stiffness or tightness"
Goiter,"I have arm swelling, blood in urine, fainting, feeling hot, headache, leg swelling, neck cramps or spasms, neck stiffness or tightness"
Goiter,"I have arm swelling, blood in urine, fainting, feeling hot, headache, hostile behavior, lower body pain, neck cramps or spasms"
Goiter,"I have blood in urine, difficulty eating, fainting, feeling hot, hostile behavior, leg swelling, lower body pain, neck stiffness or tightness, weakness"
Urge incontinence,"I have back mass or lump, blood in stool, congestion in chest, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, restlessness, stuttering or stammering, swollen tongue, symptoms of infants, vaginal dryness"
Urge incontinence,"I have back mass or lump, congestion in chest, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, restlessness, swollen tongue, symptoms of infants"
Urge incontinence,"I have back mass or lump, blood in stool, congestion in chest, intermenstrual bleeding, painful sinuses, restlessness, stuttering or stammering, symptoms of infants, vaginal dryness"
Urge incontinence,"I have back mass or lump, blood in stool, excessive growth, frequent menstruation, painful sinuses, restlessness, stuttering or stammering, symptoms of infants"
Urge incontinence,"I have back mass or lump, blood in stool, congestion in chest, frequent menstruation, intermenstrual bleeding, swollen tongue, symptoms of infants, vaginal dryness"
Urge incontinence,"I have blood in stool, excessive growth, frequent menstruation, restlessness, stuttering or stammering, swollen tongue, symptoms of infants, vaginal dryness"
Urge incontinence,"I have back mass or lump, blood in stool, congestion in chest, excessive growth, frequent menstruation, intermenstrual bleeding, symptoms of infants, vaginal dryness"
Urge incontinence,"I have back mass or lump, blood in stool, congestion in chest, excessive growth, frequent menstruation, intermenstrual bleeding, swollen tongue, symptoms of infants"
Urge incontinence,"I have back mass or lump, congestion in chest, excessive growth, intermenstrual bleeding, painful sinuses, restlessness, stuttering or stammering, swollen tongue, symptoms of infants"
Urge incontinence,"I have blood in stool, excessive growth, intermenstrual bleeding, painful sinuses, restlessness, stuttering or stammering, swollen tongue, vaginal dryness"
Edward syndrome,"I have cramps and spasms, excessive appetite, eye redness, feet turned in, itchy ear(s), joint pain, knee cramps or spasms, muscle weakness, shoulder stiffness or tightness, stuttering or stammering, vulvar irritation, wrist swelling"
Edward syndrome,"I have cramps and spasms, excessive appetite, eye redness, feet turned in, itchy ear(s), shoulder stiffness or tightness, stuttering or stammering, wrist swelling"
Edward syndrome,"I have cramps and spasms, feet turned in, itchy ear(s), joint pain, knee cramps or spasms, muscle weakness, shoulder stiffness or tightness, stuttering or stammering, wrist swelling"
Edward syndrome,"I have cramps and spasms, eye redness, feet turned in, itchy ear(s), joint pain, muscle weakness, shoulder stiffness or tightness, stuttering or stammering, vulvar irritation"
Edward syndrome,"I have excessive appetite, eye redness, feet turned in, itchy ear(s), knee cramps or spasms, muscle weakness, stuttering or stammering, vulvar irritation"
Edward syndrome,"I have cramps and spasms, excessive appetite, eye redness, feet turned in, joint pain, knee cramps or spasms, muscle weakness, vulvar irritation, wrist swelling"
Edward syndrome,"I have cramps and spasms, eye redness, feet turned in, itchy ear(s), joint pain, knee cramps or spasms, muscle weakness, shoulder stiffness or tightness, vulvar irritation"
Edward syndrome,"I have cramps and spasms, excessive appetite, feet turned in, itchy ear(s), joint pain, knee cramps or spasms, shoulder stiffness or tightness, stuttering or stammering, wrist swelling"
Edward syndrome,"I have cramps and spasms, excessive appetite, eye redness, feet turned in, itchy ear(s), knee cramps or spasms, shoulder stiffness or tightness, vulvar irritation"
Edward syndrome,"I have cramps and spasms, excessive appetite, eye redness, itchy ear(s), knee cramps or spasms, stuttering or stammering, vulvar irritation, wrist swelling"
Muscular dystrophy,"I have coryza, dizziness, fainting, fears and phobias, hand or finger lump or mass, hand or finger weakness, hip lump or mass, long menstrual periods, muscle swelling, nailbiting, problems during pregnancy, warts"
Muscular dystrophy,"I have coryza, dizziness, fears and phobias, hand or finger lump or mass, hip lump or mass, long menstrual periods, nailbiting, warts"
Muscular dystrophy,"I have coryza, fainting, fears and phobias, hand or finger weakness, hip lump or mass, long menstrual periods, muscle swelling, nailbiting, problems during pregnancy"
Muscular dystrophy,"I have dizziness, fears and phobias, hand or finger lump or mass, hand or finger weakness, hip lump or mass, muscle swelling, nailbiting, problems during pregnancy, warts"
Muscular dystrophy,"I have coryza, dizziness, fainting, fears and phobias, hand or finger lump or mass, hand or finger weakness, hip lump or mass, muscle swelling, nailbiting"
Muscular dystrophy,"I have coryza, dizziness, fears and phobias, hand or finger lump or mass, hand or finger weakness, long menstrual periods, nailbiting, problems during pregnancy, warts"
Muscular dystrophy,"I have fainting, fears and phobias, hand or finger weakness, hip lump or mass, long menstrual periods, muscle swelling, problems during pregnancy, warts"
Muscular dystrophy,"I have coryza, dizziness, fainting, fears and phobias, hand or finger lump or mass, muscle swelling, problems during pregnancy, warts"
Muscular dystrophy,"I have coryza, fainting, fears and phobias, hand or finger lump or mass, hand or finger weakness, hip lump or mass, long menstrual periods, muscle swelling, problems during pregnancy"
Muscular dystrophy,"I have coryza, dizziness, fainting, fears and phobias, hand or finger lump or mass, hand or finger weakness, hip lump or mass, muscle swelling, problems during pregnancy, warts"
Mittelschmerz,"I have ache all over, bumps on penis, diaper rash, feet turned in, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, paresthesia, seizures, shoulder weakness, vaginal redness"
Mittelschmerz,"I have ache all over, bumps on penis, diaper rash, intermenstrual bleeding, pain or soreness of breast, paresthesia, seizures, shoulder weakness"
Mittelschmerz,"I have bumps on penis, diaper rash, feet turned in, lip swelling, low urine output, paresthesia, shoulder weakness, vaginal redness"
Mittelschmerz,"I have ache all over, bumps on penis, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, shoulder weakness, vaginal redness"
Mittelschmerz,"I have ache all over, bumps on penis, diaper rash, feet turned in, intermenstrual bleeding, paresthesia, shoulder weakness, vaginal redness"
Mittelschmerz,"I have ache all over, bumps on penis, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, seizures, shoulder weakness"
Mittelschmerz,"I have ache all over, diaper rash, intermenstrual bleeding, low urine output, pain or soreness of breast, paresthesia, shoulder weakness, vaginal redness"
Mittelschmerz,"I have ache all over, feet turned in, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, seizures, shoulder weakness, vaginal redness"
Mittelschmerz,"I have bumps on penis, diaper rash, intermenstrual bleeding, low urine output, pain or soreness of breast, paresthesia, seizures, shoulder weakness, vaginal redness"
Mittelschmerz,"I have ache all over, bumps on penis, feet turned in, lip swelling, paresthesia, seizures, shoulder weakness, vaginal redness"
Corneal abrasion,"I have diminished hearing, excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, swollen abdomen, symptoms of bladder, wheezing"
Corneal abrasion,"I have diminished hearing, eye strain, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, swollen abdomen"
Corneal abrasion,"I have diminished hearing, excessive urination at night, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, swollen abdomen, symptoms of bladder, wheezing"
Corneal abrasion,"I have diminished hearing, excessive urination at night, eye moves abnormally, eye strain, irritable infant, pain during pregnancy, symptoms of bladder, wheezing"
Corneal abrasion,"I have diminished hearing, excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, lack of growth, pain during pregnancy, symptoms of bladder"
Corneal abrasion,"I have diminished hearing, excessive urination at night, eye moves abnormally, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, swollen abdomen, symptoms of bladder"
Corneal abrasion,"I have diminished hearing, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, symptoms of bladder, wheezing"
Corneal abrasion,"I have excessive urination at night, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, lack of growth, symptoms of bladder, wheezing"
Corneal abrasion,"I have excessive urination at night, eye strain, foot or toe weakness, lack of growth, pain during pregnancy, swollen abdomen, symptoms of bladder, wheezing"
Corneal abrasion,"I have diminished hearing, eye moves abnormally, eye strain, foot or toe weakness, lack of growth, pain during pregnancy, symptoms of bladder, wheezing"
Intracranial hemorrhage,"I have abnormal breathing sounds, depression, difficulty in swallowing, diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, jaw swelling, problems during pregnancy, scanty menstrual flow, vaginal redness, warts"
Intracranial hemorrhage,"I have abnormal breathing sounds, difficulty in swallowing, discharge in stools, disturbance of smell or taste, jaw swelling, scanty menstrual flow, vaginal redness, warts"
Intracranial hemorrhage,"I have abnormal breathing sounds, depression, difficulty in swallowing, diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, problems during pregnancy, scanty menstrual flow, vaginal redness"
Intracranial hemorrhage,"I have diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, jaw swelling, problems during pregnancy, scanty menstrual flow, vaginal redness, warts"
Intracranial hemorrhage,"I have diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, jaw swelling, problems during pregnancy, scanty menstrual flow, vaginal redness, warts"
Intracranial hemorrhage,"I have abnormal breathing sounds, depression, difficulty in swallowing, discharge in stools, hand or finger weakness, jaw swelling, problems during pregnancy, scanty menstrual flow, warts"
Intracranial hemorrhage,"I have abnormal breathing sounds, diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, jaw swelling, scanty menstrual flow, vaginal redness"
Intracranial hemorrhage,"I have abnormal breathing sounds, depression, diminished hearing, discharge in stools, disturbance of smell or taste, hand or finger weakness, scanty menstrual flow, vaginal redness"
Intracranial hemorrhage,"I have abnormal breathing sounds, depression, diminished hearing, discharge in stools, hand or finger weakness, problems during pregnancy, scanty menstrual flow, vaginal redness"
Intracranial hemorrhage,"I have abnormal breathing sounds, depression, discharge in stools, hand or finger weakness, jaw swelling, problems during pregnancy, scanty menstrual flow, vaginal redness"
Hyperkalemia,"I have cross-eyed, decreased appetite, depression, difficulty eating, disturbance of smell or taste, feeling hot and cold, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Hyperkalemia,"I have decreased appetite, depression, difficulty eating, disturbance of smell or taste, feeling hot and cold, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Hyperkalemia,"I have cross-eyed, decreased appetite, difficulty eating, disturbance of smell or taste, feeling hot and cold, sharp abdominal pain, sharp chest pain, vaginal redness, warts"
Hyperkalemia,"I have cross-eyed, depression, feeling hot and cold, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, warts"
Hyperkalemia,"I have cross-eyed, decreased appetite, difficulty eating, disturbance of smell or taste, feeling hot and cold, nasal congestion, seizures, sharp chest pain, warts"
Hyperkalemia,"I have decreased appetite, depression, difficulty eating, feeling hot and cold, seizures, sharp chest pain, vaginal redness, warts"
Hyperkalemia,"I have decreased appetite, depression, difficulty eating, disturbance of smell or taste, feeling hot and cold, nasal congestion, seizures, sharp abdominal pain"
Hyperkalemia,"I have cross-eyed, depression, difficulty eating, feeling hot and cold, seizures, sharp abdominal pain, vaginal redness, warts"
Hyperkalemia,"I have cross-eyed, decreased appetite, depression, difficulty eating, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, vaginal redness"
Hyperkalemia,"I have cross-eyed, depression, disturbance of smell or taste, feeling hot and cold, nasal congestion, seizures, sharp abdominal pain, sharp chest pain, vaginal redness"
Cornea infection,"I have diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, itchy ear(s), lack of growth, lip sore, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder"
Cornea infection,"I have diminished hearing, excessive urination at night, foot or toe weakness, itchy ear(s), lack of growth, lip sore, sore throat, swollen abdomen, symptoms of bladder"
Cornea infection,"I have diminished hearing, eye moves abnormally, foot or toe weakness, irritable infant, itchy ear(s), lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Cornea infection,"I have diminished hearing, excessive urination at night, foot or toe weakness, itchy ear(s), lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Cornea infection,"I have diminished hearing, excessive urination at night, eye moves abnormally, foot or toe weakness, irritable infant, lip sore, sore throat, symptoms of bladder"
Cornea infection,"I have excessive urination at night, irritable infant, itchy ear(s), lack of growth, lip sore, pain during pregnancy, swollen abdomen, symptoms of bladder"
Cornea infection,"I have excessive urination at night, eye moves abnormally, foot or toe weakness, itchy ear(s), lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Cornea infection,"I have diminished hearing, foot or toe weakness, lack of growth, lip sore, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder"
Cornea infection,"I have diminished hearing, excessive urination at night, foot or toe weakness, itchy ear(s), lack of growth, lip sore, swollen abdomen, symptoms of bladder"
Cornea infection,"I have diminished hearing, foot or toe weakness, irritable infant, itchy ear(s), lack of growth, lip sore, pain during pregnancy, symptoms of bladder"
Abscess of the lung,"I have back mass or lump, coryza, depression, double vision, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness, wrist swelling"
Abscess of the lung,"I have coryza, double vision, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, vaginal redness"
Abscess of the lung,"I have depression, excessive appetite, hand or finger weakness, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness, wrist swelling"
Abscess of the lung,"I have coryza, double vision, excessive appetite, heavy menstrual flow, itchy ear(s), sharp chest pain, vaginal redness, wrist swelling"
Abscess of the lung,"I have back mass or lump, coryza, depression, double vision, excessive appetite, heavy menstrual flow, itchy ear(s), sharp abdominal pain, vaginal redness"
Abscess of the lung,"I have back mass or lump, coryza, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp chest pain, vaginal redness"
Abscess of the lung,"I have back mass or lump, coryza, depression, double vision, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain"
Abscess of the lung,"I have back mass or lump, coryza, depression, excessive appetite, hand or finger weakness, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness"
Abscess of the lung,"I have back mass or lump, coryza, depression, double vision, excessive appetite, hand or finger weakness, vaginal redness, wrist swelling"
Abscess of the lung,"I have coryza, double vision, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain, wrist swelling"
Dengue fever,"I have allergic reaction, emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, sore in nose, wrist lump or mass"
Dengue fever,"I have allergic reaction, eyelid swelling, feet turned in, joint pain, pain during intercourse, pain during pregnancy, sore in nose, wrist lump or mass"
Dengue fever,"I have allergic reaction, eyelid swelling, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath, sore in nose, wrist lump or mass"
Dengue fever,"I have allergic reaction, eyelid swelling, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, shortness of breath, sore in nose"
Dengue fever,"I have emotional symptoms, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, sore in nose"
Dengue fever,"I have emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath"
Dengue fever,"I have emotional symptoms, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during pregnancy, shortness of breath, wrist lump or mass"
Dengue fever,"I have eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain of the anus, shortness of breath, sore in nose, wrist lump or mass"
Dengue fever,"I have allergic reaction, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath, sore in nose, wrist lump or mass"
Dengue fever,"I have allergic reaction, eyelid swelling, feet turned in, joint pain, knee cramps or spasms, pain during intercourse, pain of the anus, shortness of breath"
Chronic sinusitis,"I have cloudy eye, constipation, coryza, dry or flaky scalp, eyelid swelling, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have dry or flaky scalp, eyelid swelling, feet turned in, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have constipation, coryza, dry or flaky scalp, feet turned in, frequent urination, nailbiting, painful menstruation, sore in nose"
Chronic sinusitis,"I have constipation, dry or flaky scalp, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have cloudy eye, dry or flaky scalp, eyelid swelling, feet turned in, hand or finger weakness, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have cloudy eye, coryza, dry or flaky scalp, eyelid swelling, feet turned in, nailbiting, painful menstruation, side pain"
Chronic sinusitis,"I have cloudy eye, constipation, eyelid swelling, frequent urination, hand or finger weakness, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have cloudy eye, constipation, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have constipation, dry or flaky scalp, eyelid swelling, feet turned in, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Chronic sinusitis,"I have constipation, dry or flaky scalp, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Cholesteatoma,"I have acne or pimples, bladder mass, difficulty speaking, dry or flaky scalp, flu-like syndrome, mass in scrotum, muscle stiffness or tightness, nailbiting, peripheral edema, pupils unequal, rectal bleeding, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have bladder mass, difficulty speaking, dry or flaky scalp, flu-like syndrome, mass in scrotum, nailbiting, peripheral edema, pupils unequal, rectal bleeding"
Cholesteatoma,"I have acne or pimples, difficulty speaking, flu-like syndrome, mass in scrotum, nailbiting, peripheral edema, pupils unequal, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have acne or pimples, difficulty speaking, dry or flaky scalp, mass in scrotum, muscle stiffness or tightness, nailbiting, peripheral edema, pupils unequal, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have acne or pimples, bladder mass, difficulty speaking, dry or flaky scalp, flu-like syndrome, mass in scrotum, nailbiting, pupils unequal, rectal bleeding"
Cholesteatoma,"I have acne or pimples, bladder mass, difficulty speaking, dry or flaky scalp, flu-like syndrome, mass in scrotum, nailbiting, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have acne or pimples, bladder mass, dry or flaky scalp, flu-like syndrome, mass in scrotum, muscle stiffness or tightness, pupils unequal, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have acne or pimples, difficulty speaking, dry or flaky scalp, flu-like syndrome, mass in scrotum, muscle stiffness or tightness, nailbiting, peripheral edema, pupils unequal, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have bladder mass, difficulty speaking, dry or flaky scalp, mass in scrotum, nailbiting, peripheral edema, pupils unequal, rectal bleeding, skin dryness, peeling, scaliness, or roughness"
Cholesteatoma,"I have bladder mass, difficulty speaking, dry or flaky scalp, mass in scrotum, muscle stiffness or tightness, peripheral edema, pupils unequal, rectal bleeding, skin dryness, peeling, scaliness, or roughness"
Volvulus,"I have back mass or lump, bumps on penis, congestion in chest, depression, diaper rash, early or late onset of menopause, elbow swelling, excessive appetite, nasal congestion, penis redness, seizures, vaginal redness"
Volvulus,"I have back mass or lump, depression, diaper rash, early or late onset of menopause, elbow swelling, nasal congestion, penis redness, vaginal redness"
Volvulus,"I have bumps on penis, congestion in chest, depression, diaper rash, early or late onset of menopause, nasal congestion, penis redness, seizures"
Volvulus,"I have back mass or lump, bumps on penis, congestion in chest, depression, diaper rash, early or late onset of menopause, seizures, vaginal redness"
Volvulus,"I have back mass or lump, bumps on penis, congestion in chest, elbow swelling, excessive appetite, nasal congestion, penis redness, vaginal redness"
Volvulus,"I have back mass or lump, bumps on penis, congestion in chest, depression, diaper rash, elbow swelling, nasal congestion, penis redness, seizures"
Volvulus,"I have back mass or lump, congestion in chest, depression, diaper rash, early or late onset of menopause, penis redness, seizures, vaginal redness"
Volvulus,"I have back mass or lump, bumps on penis, depression, diaper rash, elbow swelling, excessive appetite, nasal congestion, vaginal redness"
Volvulus,"I have back mass or lump, congestion in chest, depression, diaper rash, early or late onset of menopause, elbow swelling, penis redness, vaginal redness"
Volvulus,"I have bumps on penis, depression, diaper rash, early or late onset of menopause, elbow swelling, nasal congestion, penis redness, seizures"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, emotional symptoms, headache, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, emotional symptoms, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, depression, emotional symptoms, headache, low back weakness, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have absence of menstruation, delusions or hallucinations, depression, hoarse voice, low back weakness, skin rash, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, emotional symptoms, hoarse voice, low back weakness, skin rash, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, emotional symptoms, headache, hoarse voice, premenstrual tension or irritability, throat feels tight"
Poisoning due to analgesics,"I have absence of menstruation, delusions or hallucinations, emotional symptoms, headache, low back weakness, skin rash, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have absence of menstruation, blood clots during menstrual periods, delusions or hallucinations, depression, emotional symptoms, headache, low back weakness, skin rash, throat feels tight, vaginal redness"
Poisoning due to analgesics,"I have blood clots during menstrual periods, delusions or hallucinations, depression, headache, hoarse voice, low back weakness, premenstrual tension or irritability, skin rash, throat feels tight"
Pinworm infection,"I have allergic reaction, bumps on penis, congestion in chest, constipation, itching of scrotum, itching of skin, neck cramps or spasms, pain in testicles, painful sinuses, restlessness, seizures, skin pain"
Pinworm infection,"I have allergic reaction, bumps on penis, congestion in chest, constipation, itching of scrotum, itching of skin, pain in testicles, seizures, skin pain"
Pinworm infection,"I have bumps on penis, congestion in chest, constipation, neck cramps or spasms, painful sinuses, restlessness, seizures, skin pain"
Pinworm infection,"I have allergic reaction, bumps on penis, constipation, itching of scrotum, itching of skin, neck cramps or spasms, pain in testicles, skin pain"
Pinworm infection,"I have bumps on penis, congestion in chest, itching of skin, neck cramps or spasms, pain in testicles, painful sinuses, restlessness, skin pain"
Pinworm infection,"I have allergic reaction, bumps on penis, constipation, itching of skin, neck cramps or spasms, pain in testicles, painful sinuses, restlessness, seizures"
Pinworm infection,"I have allergic reaction, constipation, itching of scrotum, itching of skin, neck cramps or spasms, painful sinuses, restlessness, seizures, skin pain"
Pinworm infection,"I have allergic reaction, congestion in chest, constipation, itching of scrotum, itching of skin, restlessness, seizures, skin pain"
Pinworm infection,"I have allergic reaction, bumps on penis, congestion in chest, itching of scrotum, itching of skin, neck cramps or spasms, pain in testicles, seizures, skin pain"
Pinworm infection,"I have allergic reaction, bumps on penis, congestion in chest, constipation, itching of scrotum, neck cramps or spasms, pain in testicles, painful sinuses, restlessness"
Urethral valves,"I have blood in stool, congestion in chest, elbow swelling, low back swelling, low urine output, muscle stiffness or tightness, nasal congestion, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
Urethral valves,"I have congestion in chest, elbow swelling, low urine output, muscle stiffness or tightness, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, vaginal redness"
Urethral valves,"I have blood in stool, congestion in chest, elbow swelling, muscle stiffness or tightness, nasal congestion, seizures, shoulder weakness, skin dryness, peeling, scaliness, or roughness, stuttering or stammering, vaginal redness"
